代號,股票名稱,權重,持有數,Date
2408,南亞科,2.64,2432000,2026-03-29
5347,世界,1.36,2277000,2026-03-29
8358,金居,2.03,1728000,2026-03-29
3037,欣興,3.19,1277000,2026-03-29
2486,一詮,0.91,1230000,2026-03-29
3105,穩懋,1.75,923000,2026-03-29
8046,南電,2.38,858000,2026-03-29
8996,高力,3.06,715000,2026-03-29
2330,台積電,6.09,677000,2026-03-29
3163,波若威,2.86,676000,2026-03-29
2344,華邦電,0.3,663000,2026-03-29
8021,尖點,0.76,569920,2026-03-29
6584,南俊國際,1.7,566000,2026-03-29
2449,京元電子,0.78,564000,2026-03-29
2345,智邦,4.35,531000,2026-03-29
4749,新應材,2.25,526000,2026-03-29
4991,環宇-KY,1.13,511000,2026-03-29
3189,景碩,0.8,457013,2026-03-29
8299,群聯,3.36,434000,2026-03-29
3017,奇鋐,4.02,370000,2026-03-29
2360,致茂,2.96,370000,2026-03-29
6531,愛普*,0.92,367000,2026-03-29
2317,鴻海,0.34,349000,2026-03-29
3533,嘉澤,3.83,343000,2026-03-29
2383,台光電,4.65,323000,2026-03-29
6442,光聖,3.24,310000,2026-03-29
7751,竑騰,2.3,285000,2026-03-29
2308,台達電,2.09,280000,2026-03-29
6274,台燿,0.71,230000,2026-03-29
2368,金像電,1.04,227000,2026-03-29
6805,富世達,2.06,219000,2026-03-29
1519,華城,0.9,211000,2026-03-29
5439,高技,0.31,205000,2026-03-29
6781,AES-KY,1.05,198000,2026-03-29
6223,旺矽,3.55,196000,2026-03-29
2059,川湖,3.4,191000,2026-03-29
8210,勤誠,0.78,173000,2026-03-29
7769,鴻勁,2.66,142000,2026-03-29
6515,穎崴,4.35,111000,2026-03-29
3653,健策,2.0,100000,2026-03-29
3665,貿聯-KY,0.92,100000,2026-03-29
5289,宜鼎,0.43,90000,2026-03-29
6510,精測,1.31,82000,2026-03-29
3529,力旺,0.94,67000,2026-03-29
6669,緯穎,1.11,66000,2026-03-29
3443,創意,0.8,66000,2026-03-29
3324,雙鴻,0.31,64000,2026-03-29
3661,世芯-KY,0.89,59000,2026-03-29
5274,信驊,1.66,29000,2026-03-29
2408,南亞科,2.63,2432000,2026-03-30
5347,世界,1.31,2277000,2026-03-30
8358,金居,1.98,1728000,2026-03-30
3037,欣興,3.09,1277000,2026-03-30
2486,一詮,0.88,1230000,2026-03-30
3105,穩懋,1.77,923000,2026-03-30
8046,南電,2.44,858000,2026-03-30
8996,高力,3.14,715000,2026-03-30
2330,台積電,5.91,677000,2026-03-30
3163,波若威,2.9,676000,2026-03-30
2344,華邦電,0.3,663000,2026-03-30
8021,尖點,0.74,569920,2026-03-30
6584,南俊國際,1.67,566000,2026-03-30
2449,京元電子,0.75,564000,2026-03-30
2345,智邦,4.26,531000,2026-03-30
4749,新應材,2.12,526000,2026-03-30
4991,環宇-KY,1.08,511000,2026-03-30
3189,景碩,0.78,457013,2026-03-30
8299,群聯,3.42,434000,2026-03-30
3017,奇鋐,3.87,370000,2026-03-30
2360,致茂,2.95,370000,2026-03-30
6531,愛普*,0.87,367000,2026-03-30
2317,鴻海,0.33,349000,2026-03-30
3533,嘉澤,3.73,343000,2026-03-30
2383,台光電,4.41,323000,2026-03-30
6442,光聖,3.21,310000,2026-03-30
7751,竑騰,2.1,285000,2026-03-30
2308,台達電,2.04,280000,2026-03-30
6274,台燿,0.68,230000,2026-03-30
2368,金像電,1.0,227000,2026-03-30
6805,富世達,1.97,219000,2026-03-30
1519,華城,0.86,211000,2026-03-30
5439,高技,0.29,205000,2026-03-30
6781,AES-KY,0.99,198000,2026-03-30
6223,旺矽,3.59,196000,2026-03-30
2059,川湖,3.24,191000,2026-03-30
8210,勤誠,0.76,173000,2026-03-30
7769,鴻勁,2.58,142000,2026-03-30
6510,精測,2.31,142000,2026-03-30
6515,穎崴,4.18,111000,2026-03-30
3653,健策,1.91,100000,2026-03-30
3665,貿聯-KY,0.92,100000,2026-03-30
5289,宜鼎,0.42,90000,2026-03-30
3529,力旺,0.88,67000,2026-03-30
6669,緯穎,1.09,66000,2026-03-30
3443,創意,0.75,66000,2026-03-30
3324,雙鴻,0.3,64000,2026-03-30
3661,世芯-KY,0.8,59000,2026-03-30
5274,信驊,1.6,29000,2026-03-30
2408,南亞科,2.41,2432000,2026-04-01
5347,世界,1.26,2277000,2026-04-01
8358,金居,1.97,1728000,2026-04-01
3105,穩懋,3.03,1716000,2026-04-01
3037,欣興,2.93,1277000,2026-04-01
2486,一詮,0.84,1230000,2026-04-01
8046,南電,2.31,858000,2026-04-01
2330,台積電,7.02,806000,2026-04-01
8996,高力,3.05,715000,2026-04-01
3163,波若威,2.75,676000,2026-04-01
2344,華邦電,0.29,663000,2026-04-01
8021,尖點,0.66,569920,2026-04-01
6584,南俊國際,1.62,566000,2026-04-01
2345,智邦,4.14,531000,2026-04-01
4749,新應材,2.04,526000,2026-04-01
4991,環宇-KY,1.01,511000,2026-04-01
3189,景碩,0.71,457013,2026-04-01
8299,群聯,3.36,434000,2026-04-01
3017,奇鋐,3.67,370000,2026-04-01
2360,致茂,2.8,370000,2026-04-01
6531,愛普*,0.79,367000,2026-04-01
2317,鴻海,0.32,349000,2026-04-01
3533,嘉澤,3.42,343000,2026-04-01
2383,台光電,4.34,323000,2026-04-01
6442,光聖,2.95,310000,2026-04-01
7751,竑騰,2.03,285000,2026-04-01
2308,台達電,1.94,280000,2026-04-01
6274,台燿,0.67,230000,2026-04-01
2368,金像電,1.01,227000,2026-04-01
6805,富世達,1.98,219000,2026-04-01
5439,高技,0.27,205000,2026-04-01
6781,AES-KY,0.93,198000,2026-04-01
6223,旺矽,3.63,196000,2026-04-01
2059,川湖,3.1,191000,2026-04-01
8210,勤誠,0.73,173000,2026-04-01
2449,京元電子,0.22,166000,2026-04-01
6669,緯穎,2.34,146000,2026-04-01
7769,鴻勁,2.57,142000,2026-04-01
6510,精測,2.24,142000,2026-04-01
6515,穎崴,3.8,111000,2026-04-01
3653,健策,1.85,100000,2026-04-01
3665,貿聯-KY,0.9,100000,2026-04-01
5289,宜鼎,0.39,90000,2026-04-01
3529,力旺,0.86,67000,2026-04-01
3443,創意,0.73,66000,2026-04-01
3324,雙鴻,0.28,64000,2026-04-01
3661,世芯-KY,0.76,59000,2026-04-01
5274,信驊,1.54,29000,2026-04-01
