代號,股票名稱,權重,持有數,Date
DA_NTD,AFTER DEDUCTING SECURITIES PURCHASES AMOUNT,2.39,678083729,2026-03-29
2408,南亞科技,6.57,8500000,2026-03-29
2337,旺宏電子,2.07,4700000,2026-03-29
3037,欣興電子,5.69,3200000,2026-03-29
2330,台灣積體,17.51,2730000,2026-03-29
3189,景碩科技,2.85,2300000,2026-03-29
2449,京元電子,1.96,2000000,2026-03-29
3711,日月光投,2.12,1700000,2026-03-29
8046,南亞電路,2.97,1500000,2026-03-29
8299,群聯電子,7.17,1300000,2026-03-29
2308,台達電子,5.85,1100000,2026-03-29
2368,金像電子,3.09,950000,2026-03-29
2383,台光電子,8.2,800000,2026-03-29
2345,智邦科技,3.79,650000,2026-03-29
3017,奇鋐科技,3.87,500000,2026-03-29
2360,致茂電子,2.62,460000,2026-03-29
6442,光紅建聖,2.83,380000,2026-03-29
7769,鴻勁精密,4.34,325000,2026-03-29
3665,貿聯-KY,2.1,320000,2026-03-29
6223,旺矽科技,3.68,285000,2026-03-29
3653,健策精密,2.56,180000,2026-03-29
5274,信驊科技,3.66,90000,2026-03-29
6515,穎崴科技,2.51,90000,2026-03-29
2603,長榮海運,0.01,9000,2026-03-29
2382,廣達電腦,0.01,9000,2026-03-29
2313,華通電腦,0.01,9000,2026-03-29
2317,鴻海精密,0.01,9000,2026-03-29
2327,國巨股份,0.01,9000,2026-03-29
2454,聯發科技,0.01,1000,2026-03-29
2059,川湖科技,0.01,1000,2026-03-29
6510,中華精測,0.01,1000,2026-03-29
DA_NTD,AFTER DEDUCTING SECURITIES PURCHASES AMOUNT,2.39,678083729,2026-03-30
2408,南亞科技,6.57,8500000,2026-03-30
2337,旺宏電子,2.07,4700000,2026-03-30
3037,欣興電子,5.69,3200000,2026-03-30
2330,台灣積體,17.51,2730000,2026-03-30
3189,景碩科技,2.85,2300000,2026-03-30
2449,京元電子,1.96,2000000,2026-03-30
3711,日月光投,2.12,1700000,2026-03-30
8046,南亞電路,2.97,1500000,2026-03-30
8299,群聯電子,7.17,1300000,2026-03-30
2308,台達電子,5.85,1100000,2026-03-30
2368,金像電子,3.09,950000,2026-03-30
2383,台光電子,8.2,800000,2026-03-30
2345,智邦科技,3.79,650000,2026-03-30
3017,奇鋐科技,3.87,500000,2026-03-30
2360,致茂電子,2.62,460000,2026-03-30
6442,光紅建聖,2.83,380000,2026-03-30
7769,鴻勁精密,4.34,325000,2026-03-30
3665,貿聯-KY,2.1,320000,2026-03-30
6223,旺矽科技,3.68,285000,2026-03-30
3653,健策精密,2.56,180000,2026-03-30
5274,信驊科技,3.66,90000,2026-03-30
6515,穎崴科技,2.51,90000,2026-03-30
2603,長榮海運,0.01,9000,2026-03-30
2382,廣達電腦,0.01,9000,2026-03-30
2313,華通電腦,0.01,9000,2026-03-30
2317,鴻海精密,0.01,9000,2026-03-30
2327,國巨股份,0.01,9000,2026-03-30
2454,聯發科技,0.01,1000,2026-03-30
2059,川湖科技,0.01,1000,2026-03-30
6510,中華精測,0.01,1000,2026-03-30
DA_NTD,AFTER DEDUCTING SECURITIES PURCHASES AMOUNT,0.98,276341842,2026-04-01
2408,南亞科技,6.34,8500000,2026-04-01
2337,旺宏電子,1.57,3500000,2026-04-01
3037,欣興電子,5.53,3200000,2026-04-01
2330,台灣積體,17.9,2730000,2026-04-01
3189,景碩科技,2.7,2300000,2026-04-01
2449,京元電子,1.98,2000000,2026-04-01
3711,日月光投,2.17,1700000,2026-04-01
8046,南亞電路,3.04,1500000,2026-04-01
8299,群聯電子,7.76,1330000,2026-04-01
2308,台達電子,6.0,1150000,2026-04-01
2368,金像電子,3.18,950000,2026-04-01
2383,台光電子,8.09,800000,2026-04-01
2345,智邦科技,3.81,650000,2026-04-01
3017,奇鋐科技,3.95,530000,2026-04-01
2360,致茂電子,2.62,460000,2026-04-01
6442,光紅建聖,2.73,380000,2026-04-01
3665,貿聯-KY,2.5,370000,2026-04-01
7769,鴻勁精密,4.43,325000,2026-04-01
6223,旺矽科技,3.98,285000,2026-04-01
3653,健策精密,2.51,180000,2026-04-01
5274,信驊科技,3.6,90000,2026-04-01
6515,穎崴科技,2.32,90000,2026-04-01
2313,華通電腦,0.01,9000,2026-04-01
2317,鴻海精密,0.01,9000,2026-04-01
2327,國巨股份,0.01,9000,2026-04-01
2382,廣達電腦,0.01,9000,2026-04-01
2603,長榮海運,0.01,9000,2026-04-01
2059,川湖科技,0.01,1000,2026-04-01
6510,中華精測,0.01,1000,2026-04-01
2454,聯發科技,0.01,1000,2026-04-01
