代號,股票名稱,權重,持有數,Date
2313,華通,1.62,1490000,2026-03-29
NOK US,NOKIA CORP-SPON ADR,1.11,945396,2026-03-29
2449,京元電子,0.95,746000,2026-03-29
268A JP,RIGAKU HOLDINGS CORP,1.35,651500,2026-03-29
2308,台達電,4.22,628000,2026-03-29
AIXA GR,AIXTRON SE,2.92,503734,2026-03-29
2330,台積電,4.06,497000,2026-03-29
3037,欣興,1.06,475000,2026-03-29
2368,金像電,1.35,330000,2026-03-29
6590 JP,SHIBAURA MECHATRONICS CORP,1.18,293400,2026-03-29
2345,智邦,1.64,221000,2026-03-29
6274,台燿,0.58,214000,2026-03-29
2360,致茂,1.44,198000,2026-03-29
INTC US,INTEL CORP,0.99,157700,2026-03-29
TSEM US,TOWER SEMICONDUCTOR LTD,3.6,145349,2026-03-29
6941 JP,YAMAICHI ELECTRONICS CO LTD,1.12,145200,2026-03-29
2383,台光電,1.88,144000,2026-03-29
005930 KP,SAMSUNG ELECTRONICS CO LTD,2.43,143231,2026-03-29
SOI FP,S.O.I.T.E.C.,1.25,142945,2026-03-29
PL US,PLANET LABS PBC,0.63,136600,2026-03-29
3017,奇鋐,1.31,130000,2026-03-29
3653,健策,1.92,110000,2026-03-29
GLW US,CORNING INC,2.02,105095,2026-03-29
4062 JP,IBIDEN CO LTD,0.73,96900,2026-03-29
MU US,MICRON TECHNOLOGY INC,4.86,96571,2026-03-29
5801 JP,FURUKAWA ELECTRIC CO LTD,2.69,94100,2026-03-29
5706 JP,MITSUI KINZOKU CO LTD,2.53,92300,2026-03-29
CRCL US,CIRCLE INTERNET GROUP INC,1.26,90812,2026-03-29
4971 JP,MEC CO LTD,0.57,87900,2026-03-29
NVDA US,NVIDIA CORP,2.03,83550,2026-03-29
LITE US,LUMENTUM HOLDINGS INC,7.93,81252,2026-03-29
TER US,TERADYNE INC,3.37,80100,2026-03-29
ENR GR,SIEMENS ENERGY AG,1.94,78915,2026-03-29
6787 JP,MEIKO ELECTRONICS CO LTD,1.87,73200,2026-03-29
BE US,BLOOM ENERGY CORP- A,1.35,71100,2026-03-29
SNDK US,SANDISK CORP,5.17,60433,2026-03-29
5803 JP,FUJIKURA LTD,1.47,59000,2026-03-29
AXTI US,AXT INC,0.46,55200,2026-03-29
CIEN US,CIENA CORP,2.88,52342,2026-03-29
SMHN GR,SUSS MICROTEC SE,0.48,51632,2026-03-29
6227 JP,AIMECHATEC LTD,0.85,50500,2026-03-29
RKLB US,ROCKET LAB CORP,0.45,48686,2026-03-29
KEYS US,KEYSIGHT TECHNOLOGIES IN,1.67,41900,2026-03-29
WDC US,WESTERN DIGITAL CORP,1.61,41462,2026-03-29
AMAT US,APPLIED MATERIALS INC,1.97,41100,2026-03-29
AMD US,ADVANCED MICRO DEVICES,0.97,33700,2026-03-29
3110 JP,NITTO BOSEKI CO LTD,0.6,30800,2026-03-29
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,1.05,24303,2026-03-29
GOOGL US,ALPHABET INC-CL A,0.95,23900,2026-03-29
GEV US,GE VERNOVA INC,2.23,18000,2026-03-29
COHR US,COHERENT CORP,0.46,13300,2026-03-29
5274,信驊,0.51,10000,2026-03-29
ASML US,ASML HOLDING NV-NY REG SHS,1.31,6960,2026-03-29
