代號,股票名稱,權重,持有數,Date
1216,統一企業,3.12,3644000,2026-03-30
2412,中華電信,4.05,2535000,2026-03-30
1605,華新麗華,0.77,2118000,2026-03-30
2881,富邦金融控股,2.11,2051100,2026-03-30
4904,遠傳電信,1.97,1813000,2026-03-30
2891,中國信託金融控股,1.01,1631000,2026-03-30
2330,台灣積體電路製造,23.82,1122000,2026-03-30
2395,研華,3.45,900000,2026-03-30
2344,華邦電子,0.71,639000,2026-03-30
3264,欣銓科技,1.18,609000,2026-03-30
2317,鴻海精密工業,1.3,561000,2026-03-30
6789,采鈺科技,1.92,490000,2026-03-30
6239,力成科技,1.09,468000,2026-03-30
1477,聚陽實業,1.22,433000,2026-03-30
3293,鈊象電子,3.04,339000,2026-03-30
6488,環球晶圓,1.63,313000,2026-03-30
4749,新應材,2.95,302000,2026-03-30
2382,廣達電腦,1.0,299000,2026-03-30
3711,日月光投資控股,1.05,248000,2026-03-30
6415,矽力杰,0.82,241000,2026-03-30
3037,欣興電子,1.21,205000,2026-03-30
2308,台達電子工業,2.83,160000,2026-03-30
3105,穩懋半導體,0.48,103000,2026-03-30
6781,AES Holding Co Ltd,1.22,101000,2026-03-30
2360,致茂電子,1.94,100000,2026-03-30
8210,勤誠興業,0.98,92000,2026-03-30
2368,金像電子（股）公司,0.96,90000,2026-03-30
3533,嘉澤端子工業,2.25,85000,2026-03-30
2345,智邦科技,1.54,79000,2026-03-30
2454,聯發科技,1.4,78000,2026-03-30
1519,華城電機,0.68,68000,2026-03-30
6442,光紅建聖,1.43,57000,2026-03-30
3665,貿聯控股（BizLink Holding In,1.14,51000,2026-03-30
6805,富世達,1.11,51000,2026-03-30
6274,台燿科技,0.33,46000,2026-03-30
3017,奇鋐科技,1.09,43000,2026-03-30
2408,南亞科技,0.1,38000,2026-03-30
2383,台光電子材料,1.23,37000,2026-03-30
3036,文曄科技,0.09,35000,2026-03-30
3661,世芯電子,1.08,33000,2026-03-30
2327,國巨,0.1,33000,2026-03-30
6223,旺矽科技,1.43,32000,2026-03-30
2449,京元電子,0.09,27000,2026-03-30
6669,緯穎科技服務,0.96,24000,2026-03-30
3653,健策精密工業,0.97,21000,2026-03-30
7769,鴻勁精密,0.88,20000,2026-03-30
2059,川湖科技,0.78,19000,2026-03-30
3529,力旺電子,0.42,13000,2026-03-30
6515,穎崴科技,1.01,11000,2026-03-30
5274,信驊科技,0.4,3000,2026-03-30
202604TX,台灣證交所加權股價指數,4.03,52,2026-03-30
1216,統一企業,3.42,4026000,2026-04-01
2412,中華電信,4.29,2709000,2026-04-01
4904,遠傳電信,2.7,2443000,2026-04-01
1605,華新麗華,0.77,2118000,2026-04-01
2881,富邦金融控股,2.13,2051100,2026-04-01
2891,中國信託金融控股,1.03,1631000,2026-04-01
2395,研華,5.58,1428000,2026-04-01
2330,台灣積體電路製造,24.57,1122000,2026-04-01
2344,華邦電子,0.7,639000,2026-04-01
3264,欣銓科技,1.19,609000,2026-04-01
2317,鴻海精密工業,1.3,561000,2026-04-01
6239,力成科技,1.08,468000,2026-04-01
1477,聚陽實業,1.17,433000,2026-04-01
6789,采鈺科技,1.58,422000,2026-04-01
3293,鈊象電子,3.42,378000,2026-04-01
2382,廣達電腦,1.03,299000,2026-04-01
6488,環球晶圓,1.3,267000,2026-04-01
3711,日月光投資控股,1.06,248000,2026-04-01
6415,矽力杰,0.8,241000,2026-04-01
4749,新應材,1.94,198000,2026-04-01
2308,台達電子工業,2.79,160000,2026-04-01
3105,穩懋半導體,0.46,103000,2026-04-01
6781,AES Holding Co Ltd,1.19,101000,2026-04-01
2360,致茂電子,1.9,100000,2026-04-01
8210,勤誠興業,0.98,92000,2026-04-01
2368,金像電子（股）公司,1.01,90000,2026-04-01
2345,智邦科技,1.55,79000,2026-04-01
2454,聯發科技,1.35,78000,2026-04-01
1519,華城電機,0.65,68000,2026-04-01
3533,嘉澤端子工業,1.66,66000,2026-04-01
6442,光紅建聖,1.37,57000,2026-04-01
3037,欣興電子,0.31,53000,2026-04-01
3665,貿聯控股（BizLink Holding In,1.15,51000,2026-04-01
3017,奇鋐科技,1.07,43000,2026-04-01
2408,南亞科技,0.09,38000,2026-04-01
2383,台光電子材料,1.25,37000,2026-04-01
3036,文曄科技,0.09,35000,2026-04-01
3661,世芯電子,1.06,33000,2026-04-01
2327,國巨,0.1,33000,2026-04-01
6223,旺矽科技,1.49,32000,2026-04-01
2449,京元電子,0.09,27000,2026-04-01
6669,緯穎科技服務,0.97,24000,2026-04-01
3653,健策精密工業,0.98,21000,2026-04-01
2059,川湖科技,0.78,19000,2026-04-01
3529,力旺電子,0.42,13000,2026-04-01
6805,富世達,0.3,13000,2026-04-01
6274,台燿科技,0.1,13000,2026-04-01
7769,鴻勁精密,0.09,2000,2026-04-01
5274,信驊科技,0.13,1000,2026-04-01
6515,穎崴科技,0.09,1000,2026-04-01
202604TX,台灣證交所加權股價指數,4.1,52,2026-04-01
