代號,股票名稱,權重,持有數,Date
2441,超豐,2.48,8180000,2026-03-29
3264,欣銓,3.51,6992000,2026-03-29
6257,矽格,2.94,6338000,2026-03-29
1785,光洋科,1.41,4597000,2026-03-29
2316,楠梓電,1.37,4125000,2026-03-29
2421,建準,1.41,3307925,2026-03-29
5536,聖暉*,7.5,3140000,2026-03-29
3036,文曄,2.25,3090000,2026-03-29
2428,興勤,1.53,3050000,2026-03-29
3105,穩懋,3.43,2825000,2026-03-29
4958,臻鼎-KY,1.94,2654000,2026-03-29
2449,京元電子,2.2,2488000,2026-03-29
6139,亞翔,4.15,2278000,2026-03-29
5439,高技,1.86,1923000,2026-03-29
6177,達麗,0.27,1784350,2026-03-29
2330,台積電,8.28,1432000,2026-03-29
2472,立隆電,0.5,1223000,2026-03-29
2885,元大金,0.16,1102420,2026-03-29
2481,強茂,0.32,1028000,2026-03-29
2360,致茂,4.39,855000,2026-03-29
2345,智邦,3.78,719000,2026-03-29
2308,台達電,3.31,690000,2026-03-29
8210,勤誠,1.63,564000,2026-03-29
3324,雙鴻,1.71,543000,2026-03-29
3491,昇達科,2.85,539000,2026-03-29
3017,奇鋐,3.75,538000,2026-03-29
2451,創見,0.35,464000,2026-03-29
6669,緯穎,4.97,461000,2026-03-29
2383,台光電,4.22,457000,2026-03-29
2454,聯發科,2.23,443000,2026-03-29
2327,國巨*,0.33,403000,2026-03-29
8996,高力,1.02,373000,2026-03-29
2404,漢唐,1.03,368000,2026-03-29
3376,新日興,0.23,355000,2026-03-29
1319,東陽,0.09,355000,2026-03-29
3711,日月光投控,0.39,349000,2026-03-29
6805,富世達,1.76,291000,2026-03-29
5289,宜鼎,0.87,286000,2026-03-29
6223,旺矽,3.21,276000,2026-03-29
7769,鴻勁,3.12,259000,2026-03-29
6274,台燿,0.37,186000,2026-03-29
2368,金像電,0.45,155000,2026-03-29
8464,億豐,0.16,142000,2026-03-29
8046,南電,0.18,103000,2026-03-29
4441,振大環球,0.04,59000,2026-03-29
3665,貿聯-KY,0.34,58136,2026-03-29
2059,川湖,0.61,53000,2026-03-29
3008,大立光,0.36,51000,2026-03-29
2548,華固,0.01,29600,2026-03-29
3529,力旺,0.21,23000,2026-03-29
5274,信驊,0.22,6000,2026-03-29
6510,精測,0.01,1000,2026-03-29
3443,創意,0.01,1000,2026-03-29
